"","kills","deaths","assists","killingSprees","largestKillingSpree","largestMultiKill","doubleKills","tripleKills","quadraKills","pentaKills","totalDamageDealt","totalDamageDealtToChampions","magicDamageDealt","physicalDamageDealt","trueDamageDealt","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","totalDamageTaken","goldEarned","goldSpent","totalMinionsKilled","neutralMinionsKilled","lane","teamPosition","timePlayed","visionScore","wardsPlaced","wardsKilled","longestTimeSpentLiving","totalHeal","totalHealsOnTeammates","totalDamageShieldedOnTeammates","timeCCingOthers","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","killParticipation","takedowns"
"120",0,9,3,0,0,0,0,0,0,0,23054,4634,14686,4382,3985,2784,43,12472,19485,5779,5375,19,0,"BOTTOM","UTILITY",1785,58,30,3,340,402,0,4239,19,FALSE,FALSE,FALSE,FALSE,NA,NA
"121",7,13,22,1,2,1,0,0,0,0,33028,18275,29434,2170,1423,2371,2371,22314,40073,9461,7700,10,0,"NONE","",858,0,0,0,103,17237,0,0,48,FALSE,TRUE,FALSE,TRUE,NA,NA
"122",11,6,15,2,4,2,1,0,0,0,197686,41847,173591,22546,1548,11801,4602,11849,22317,16500,15350,241,4,"MIDDLE","MIDDLE",2050,33,8,5,666,2265,0,0,36,FALSE,FALSE,TRUE,FALSE,NA,NA
"123",6,8,14,1,3,1,0,0,0,0,162766,24784,141269,14100,7397,5415,2389,10180,21456,12492,12600,194,0,"BOTTOM","BOTTOM",1833,17,9,3,403,2851,308,2501,49,FALSE,FALSE,FALSE,FALSE,NA,NA
"124",0,0,0,0,0,0,0,0,0,0,61,61,12,48,0,0,0,0,0,501,500,0,0,"NONE","TOP",110,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA
"125",15,7,37,6,3,2,4,0,0,0,104800,46308,18688,80708,5403,4201,4201,10752,19517,12963,11683,96,0,"NONE","",887,0,0,0,184,1369,0,0,18,FALSE,TRUE,FALSE,TRUE,NA,NA
"126",26,5,13,5,7,4,7,4,2,0,75092,47734,9197,64197,1696,488,488,26722,26123,14263,11600,28,0,"NONE","",910,0,0,0,314,13068,677,187,31,TRUE,FALSE,FALSE,TRUE,NA,NA
"127",6,7,6,0,0,1,0,0,0,0,217115,25052,182412,26483,8219,13602,4961,15068,25888,15282,13200,291,0,"MIDDLE","MIDDLE",2117,43,13,10,490,1993,0,0,22,TRUE,FALSE,FALSE,FALSE,NA,NA
"128",3,8,0,1,2,1,0,0,0,0,149847,11377,74623,27187,48036,3506,3506,14171,19898,9275,9150,196,4,"TOP","TOP",1402,12,7,1,348,1421,0,0,2,FALSE,FALSE,FALSE,FALSE,NA,NA
"129",2,7,1,0,0,1,0,0,0,0,40439,8207,7890,25892,6656,0,0,3400,10330,5471,4300,96,0,"NONE","BOTTOM",1055,8,4,2,309,50,0,0,1,FALSE,FALSE,FALSE,FALSE,NA,NA
